id,title,industry,category,salary_min,salary_max,salary_median,growth_outlook,growth_percent,education,experience_years_min,certifications_recommended,top_states,union_common,work_environment,description
104,Collision Repair Technician,Automotive,General Labor,42000,80000,60000,Below Average,2,Trade school certificate,1,ASE Collision Repair|I-CAR,CA|TX|FL|NY|OH,No,Indoor,Collision repair technicians restore damaged vehicle bodies; straighten frames; replace panels; and refinish surfaces using specialized equipment.
105,Construction Laborer,Construction,General Labor,29000,45000,37000,High,7,No formal requirement,0,OSHA 10,TX|CA|FL|AZ|NY,Sometimes,Outdoor,Construction laborers carry materials; clean job sites; assist tradespeople; and operate hand tools as entry-level workers on construction projects.
106,Construction Foreman (General),Construction,General Labor,65000,95000,80000,High,7,High school diploma,5,OSHA 30|First Aid/CPR,TX|CA|FL|NY|AZ,Sometimes,Outdoor,Construction foremen oversee crews of laborers and tradespeople; coordinating daily tasks; managing materials; and enforcing safety on job sites.
107,Construction Project Manager,Construction,General Labor,100000,180000,130000,High,9,Associate degree,10,PMP|OSHA 30|CCM,TX|CA|FL|NY|AZ,No,Indoor,Construction project managers oversee budgets; contracts; client relationships; and scheduling for commercial and industrial construction projects.
108,Construction Estimator,Construction,General Labor,65000,110000,85000,High,9,Associate degree,3,CPE|OSHA 10|ASPE,TX|CA|FL|NY|OH,No,Indoor,Construction estimators analyze blueprints and specifications to calculate material quantities; labor costs; and timelines for project bidding.
109,Safety Manager (Construction),Construction,General Labor,75000,120000,95000,High,9,Associate degree,5,CHST|OSHA 500|CSP|CPR/First Aid,TX|CA|FL|NY|OH,Sometimes,Both,Construction safety managers develop and implement safety programs; conduct inspections; investigate incidents; and ensure OSHA compliance on job sites.
110,Construction Technology Manager,Construction,General Labor,80000,130000,105000,Very High,12,Associate degree,5,PMP|BIM Certification|OSHA 10,CA|TX|WA|NY|VA,No,Indoor,Construction technology managers oversee a firm's technology stack from BIM and drones to robotics and AI scheduling tools for project optimization.
111,BAS/Smart Building Integrator,Construction,HVAC,70000,110000,90000,Very High,10,Associate degree,3,BACnet|Niagara N4|OSHA 10|Tridium,CA|TX|VA|WA|NY,No,Indoor,Smart building integrators design and implement building automation systems connecting HVAC; lighting; access; and energy management controls.
112,Commissioning Agent,Construction,Electrical,80000,130000,105000,Very High,10,Associate degree,5,CxA|OSHA 10|ASHRAE BCxP,VA|TX|CA|AZ|OH,No,Indoor,Commissioning agents verify that building systems perform according to design specifications; testing HVAC; electrical; and controls before occupancy.
113,Robotics Maintenance Technician,Manufacturing,General Labor,55000,90000,72000,Very High,15,Associate degree,2,FANUC|OSHA 10|PLC Certification,OH|MI|TX|CA|IN,No,Indoor,Robotics maintenance technicians program; troubleshoot; and maintain automated welding; assembly; and material handling robots in manufacturing facilities.
114,Semiconductor Fab Technician,Manufacturing,Electrical,50000,80000,65000,Very High,12,Associate degree,0,OSHA 10|Cleanroom Certification,AZ|OH|TX|NY|OR,No,Indoor,Semiconductor fab technicians operate and maintain equipment in cleanroom environments for chip manufacturing at TSMC; Intel; and Samsung facilities.
115,Battery Storage Technician,Energy,Solar/Renewable,52000,85000,68000,Very High,32,Trade school certificate,1,OSHA 10|NABCEP Energy Storage|Electrical License,CA|TX|AZ|NV|FL,No,Indoor,Battery storage technicians install; maintain; and troubleshoot lithium-ion battery energy storage systems connected to solar and grid infrastructure.
