id,name,type,industry,trades_hired,state,city,employees,revenue,union_status,benefits,website,description
114,Trillium Staffing,Staffing Agency,Staffing,Carpentry|Electrical|Plumbing|HVAC|Heavy Equipment,US,Grand Rapids,3000,200,Both,Health|Training,https://trilliumstaffing.com/,National construction staffing firm placing 15000-plus workers annually across 100-plus locations
115,Industrial Trade Services (ITS),Staffing Agency,Staffing,Electrical|Plumbing|HVAC|Welding|Pipefitting,US,Tampa,1000,100,Both,Health|Training,,Tampa-based commercial and industrial construction staffing company with 30-plus national locations
116,LaborMax Staffing,Staffing Agency,Staffing,Carpentry|Concrete|Heavy Equipment|Painting|Laborer,US,Portland,2000,100,Non-Union,Health|Training,,National general labor and construction staffing with 80-plus locations
117,United Rentals,Specialty Contractor,Construction,Heavy Equipment|Crane Operation|Diesel Mechanic,US,Stamford,25000,14300,Non-Union,Health|401k|Training,https://jobs.unitedrentals.com/,Largest equipment rental company globally with 1500-plus locations; employs operators and mechanics
118,Sunbelt Rentals,Specialty Contractor,Construction,Heavy Equipment|Crane Operation|Diesel Mechanic,US,Fort Mill,18000,7500,Non-Union,Health|401k|Training,https://careers.sunbeltrentals.com/,Second-largest US equipment rental company with 1000-plus locations
119,Herc Holdings,Specialty Contractor,Construction,Heavy Equipment|Crane Operation|Diesel Mechanic,FL,Bonita Springs,7000,3300,Non-Union,Health|401k|Training,https://www.hercrentals.com/,Florida-headquartered equipment rental company with 400-plus locations nationwide
120,Asplundh Tree Expert,Tree Care,Landscaping,Arborist|Heavy Equipment|CDL Driver|Linework,US,Willow Grove,30000,4000,Non-Union,Health|401k|Training,https://www.asplundh.com/,Largest tree care and utility vegetation management company with 30000-plus employees
121,Davey Tree Expert Company,Tree Care,Landscaping,Arborist|Heavy Equipment|CDL Driver|Landscaping,US,Kent,11000,1500,Non-Union,Health|401k|ESOP|Training,https://www.davey.com/,Employee-owned tree care company offering career progression from trainee to crew leader
122,Bartlett Tree Experts,Tree Care,Landscaping,Arborist|Landscaping,US,Stamford,2500,400,Non-Union,Health|401k|Training,https://www.bartlett.com/,Scientific tree care and plant health company with 2500-plus employees
123,Wright Tree Service,Tree Care,Landscaping,Arborist|Linework|Heavy Equipment|CDL Driver,US,Des Moines,5000,500,Non-Union,Health|401k|Training,,Utility vegetation management specialist with 5000-plus employees
124,SavATree,Tree Care,Landscaping,Arborist|Landscaping|Pest Management,US,Bedford Hills,2500,350,Non-Union,Health|401k|Training,https://www.savatree.com/,Full-service tree care; lawn care; and pest management company
125,Tecta America,Specialty Contractor,Construction,Roofing|Sheet Metal|Waterproofing,US,Rosemont,4300,1500,Both,Health|401k|Training,https://www.tectaamerica.com/,Largest US roofing contractor with $1.5B revenue and 90-plus locations nationwide
126,CentiMark Corporation,Specialty Contractor,Construction,Roofing|Waterproofing|Flooring,US,Canonsburg,3500,1000,Non-Union,Health|401k|Training,https://www.centimark.com/,Second-largest national roofing contractor with 100-plus locations
127,Johnson Controls,Specialty Contractor,Construction,Fire Protection|HVAC|Controls|Electrical,US,Milwaukee,100000,27000,Both,Health|401k|Pension|Training,https://www.johnsoncontrols.com/,Global building automation; HVAC; fire; and security leader; largest fire protection company through SimplexGrinnell
128,Pye-Barker Fire & Safety,Specialty Contractor,Construction,Fire Protection|Sprinkler|Fire Alarm,US,Atlanta,5000,500,Non-Union,Health|401k|Training,https://pyebarkerfs.com/,Growing fire protection company with 200-plus locations nationwide
129,CBRE Group,Property Management,Construction,HVAC|Electrical|Plumbing|Carpentry|Painting,US,Dallas,130000,30000,Non-Union,Health|401k|Training,https://www.cbre.com/,World's largest commercial real estate services firm with 130000 employees in facilities management
130,ABM Industries,Property Management,Construction,HVAC|Electrical|Plumbing|Carpentry|Janitorial,US,New York,100000,8000,Both,Health|401k|Training,https://www.abm.com/,Major facility services company with 100000-plus employees across building maintenance and operations
131,BuildForce,Digital Platform,Staffing,Carpentry|Electrical|Plumbing|HVAC|Concrete,US,Multiple,100,20,Both,Health|Training,https://www.buildforce.com/,Digital-first construction staffing platform connecting trades workers with contractors
132,Instawork,Digital Platform,Staffing,Laborer|Carpentry|Painting|General Labor,US,San Francisco,500,100,Non-Union,Health,https://www.instawork.com/,Fastest-growing on-demand staffing platform with app-based gig and W-2 hybrid model
133,JobStack (PeopleReady),Digital Platform,Staffing,Carpentry|Electrical|Plumbing|Heavy Equipment|Laborer,US,Tacoma,500,200,Both,Health|Training,https://www.peopleready.com/,Digital dispatch platform from PeopleReady focused on construction labor; workers accept shifts via smartphone
134,Michels Corporation,Specialty Contractor,Construction,Welding|Pipefitting|Heavy Equipment|Electrical|Linework,US,Brownsville,8000,3000,Both,Health|401k|Training|Per Diem,https://www.michels.us/,Major pipeline; utility; and heavy civil contractor based in Wisconsin
135,Limbach Holdings,Specialty Contractor,Construction,HVAC|Plumbing|Controls|Piping,US,Pittsburgh,2200,600,Both,Health|401k|Training,https://www.limbachinc.com/,Publicly traded HVAC; plumbing; and building automation contractor
136,Carrier Global,Specialty Contractor,Manufacturing,HVAC|Electrical|Controls|Refrigeration,FL,Palm Beach Gardens,50000,20000,Non-Union,Health|401k|Pension|Training,https://www.carrier.com/,Global HVAC manufacturer and service network headquartered in Florida
137,Trane Technologies,Specialty Contractor,Manufacturing,HVAC|Controls|Refrigeration|Electrical,US,Davidson,40000,18000,Non-Union,Health|401k|Training,https://www.tranetechnologies.com/,Commercial HVAC leader with extensive service technician and installer workforce
138,Roto-Rooter,Specialty Contractor,Residential,Plumbing|Drain Cleaning,US,Cincinnati,5000,800,Non-Union,Health|401k|Training,https://www.rotorooter.com/,Largest plumbing and drain service company in North America
139,Goettl,Specialty Contractor,Residential,HVAC|Plumbing|Electrical,US,Phoenix,2000,300,Non-Union,Health|401k|Training,https://www.goettl.com/,Multi-state residential HVAC service company expanding across FL; CA; TX; AZ; and NV
140,Baker Roofing Company,Specialty Contractor,Construction,Roofing|Sheet Metal|Waterproofing,US,Raleigh,2000,500,Non-Union,Health|401k|Training,https://www.bakerroofing.com/,Top 5 national roofing contractor with 30-plus locations across the Southeast
141,Daikin (US Operations),Specialty Contractor,Manufacturing,HVAC|Refrigeration|Controls|Electrical,TX,Waller,10000,5000,Non-Union,Health|401k|Training,https://www.daikincomfort.com/,World's largest HVAC manufacturer with US manufacturing and service operations in Texas
142,Lucas Tree Experts,Tree Care,Landscaping,Arborist|Linework|CDL Driver|Heavy Equipment,US,Portland,1500,200,Non-Union,Health|401k|Training,https://www.lucastree.com/,Utility line clearance and tree care company in the Northeast
143,Skilled Group,Staffing Agency,Staffing,Carpentry|Electrical|Plumbing|HVAC|Concrete,CA,Orange,500,50,Non-Union,Health|Training,,Southern California commercial construction staffing specialist
144,DAVRON,Staffing Agency,Staffing,Carpentry|Electrical|Plumbing|HVAC|Superintendent,FL,Tampa,100,20,Both,Health|Training,,Southeast and West construction executive recruiting and staffing firm
145,MGR Workforce,Staffing Agency,Staffing,Laborer|Concrete|Carpentry|Painting,FL,Multiple,200,15,Non-Union,Health,,Florida-based on-demand construction labor platform replacing informal day labor gathering
146,Optimum Seismic,Specialty Contractor,Construction,Carpentry|Concrete|Structural Steel|Welding,CA,Multiple,200,50,Both,Health|401k|Training,https://www.optimumseismic.com/,California seismic retrofit engineering and construction specialist
147,Cool-Rite Mechanical,Specialty Contractor,Construction,HVAC|Controls|Piping,FL,Tampa,150,40,Non-Union,Health|401k|Training,,Tampa and Orlando commercial HVAC installation and service contractor
148,W.G. Mills Inc.,Specialty Contractor,Construction,HVAC|Plumbing|Piping|Controls,FL,Orlando,200,60,Non-Union,Health|401k|Training,https://www.wgmills.com/,Central Florida mechanical contractor and leader in commercial HVAC and piping
149,Pan-Pacific Mechanical,Specialty Contractor,Construction,HVAC|Plumbing|Piping,CA,Brea,300,150,Both,Health|401k|Training,,Southern California mechanical and plumbing contractor
150,Goldin Solar,Specialty Contractor,Energy,Solar|Electrical|Battery Storage,FL,Miami,50,10,Non-Union,Health|Training,https://www.goldinsolar.com/,Miami NABCEP-certified residential solar installer with in-house installation team
