id,provider_name,type,certifications_offered,trade,state,city,format,cost_min,cost_max,duration,financial_aid,website,description
110,ABC Southern California Chapter,Union Training Center,"Electrical Apprenticeship|HVAC Apprenticeship|Plumbing Apprenticeship|Sheet Metal Apprenticeship|NCCER",Multiple,CA,Anaheim,In-Person,0,5000,4 years,Employer Paid,https://www.abcsocal.org,"NCCER accredited since 1994; 4-year apprenticeships with 8000 OJT hours and 576+ classroom hours"
111,Urban Workshop (AWS ATF),Testing Center,"AWS Certified Welder|Structural Welding|Pipe Welding|Specialty Welding",Welding,CA,Costa Mesa,In-Person,200,500,Varies,No,https://urbanworkshop.net/awstest,"AWS Accredited Test Facility for welder performance qualification testing in Orange County"
112,College of the Canyons (AWS ATF),Testing Center,AWS Certified Welder,Welding,CA,Santa Clarita,In-Person,200,500,Varies,No,https://www.canyons.edu,"AWS Accredited Test Facility at community college in the Santa Clarita Valley"
113,Energy Code Ace,Training School,"CA Title 24 Part 6|2025 Residential Standards|Lighting|Energy Code Compliance",Multiple,CA,Multiple,Hybrid,0,0,Varies,Free,https://energycodeace.com,"Free Title 24 training funded by CA utility customers through PG&E; SDG&E; and Southern California Edison"
114,CHEERS,Training School,HERS Rater Certification|ECC-Rater Certification,Multiple,CA,Multiple,In-Person,500,2000,Varies,No,https://www.cheers.org,"CEC-approved HERS/ECC provider for California building energy code compliance testing and rating"
115,CalCERTS Training,Training School,HERS Rater Training|ECC-Rater Training,Multiple,CA,Los Angeles,In-Person,500,2000,Varies,No,https://www.calcerts.com,"HERS rater training programs in partnership with Center for Sustainable Energy in LA and San Diego"
116,Red Cross - Los Angeles CA,Red Cross/AHA,"CPR/AED|First Aid|BLS",General Safety,CA,Los Angeles,Hybrid,35,90,4-8 hours,No,https://www.redcross.org/take-a-class/cpr,"Red Cross CPR and First Aid classes serving the Los Angeles metro area"
117,Red Cross - San Francisco CA,Red Cross/AHA,"CPR/AED|First Aid|BLS",General Safety,CA,San Francisco,Hybrid,35,90,4-8 hours,No,https://www.redcross.org/take-a-class/cpr,"Red Cross CPR and First Aid classes serving the San Francisco Bay Area"
118,Red Cross - San Diego CA,Red Cross/AHA,"CPR/AED|First Aid|BLS",General Safety,CA,San Diego,Hybrid,35,90,4-8 hours,No,https://www.redcross.org/take-a-class/cpr,"Red Cross CPR and First Aid classes serving San Diego County"
119,Red Cross - Sacramento CA,Red Cross/AHA,"CPR/AED|First Aid|BLS",General Safety,CA,Sacramento,Hybrid,35,90,4-8 hours,No,https://www.redcross.org/take-a-class/cpr,"Red Cross CPR and First Aid classes serving the Sacramento capital region"
120,WIOA / American Job Centers,Government Program,"OSHA|EPA 608|Welding|HVAC|Electrical|Plumbing|CDL|Multiple Trade Certs",Multiple,US,Multiple,Varies,0,7395,Varies,WIOA,https://www.careeronestop.org/LocalHelp/,"Federal workforce funding covering tuition; exam fees; books; transportation; and supportive services for eligible adults"
121,CareerSource South Florida,Government Program,"Trade Certification Training Vouchers (ITA)|Career Counseling",Multiple,FL,Miami,Varies,0,5000,Varies,WIOA,https://careersourcesfl.com,"WIOA-funded Individual Training Accounts for approved trade certification programs in Miami-Dade and Monroe"
122,CareerSource Broward,Government Program,"Trade Certification Training Vouchers (ITA)|Career Counseling",Multiple,FL,Fort Lauderdale,Varies,0,5000,Varies,WIOA,https://careersourcebroward.com,"WIOA-funded training vouchers for Broward County residents pursuing trade certifications"
123,CareerSource Central Florida,Government Program,"Trade Certification Training Vouchers (ITA)|Career Counseling",Multiple,FL,Orlando,Varies,0,5000,Varies,WIOA,https://careersourcecentralflorida.com,"Training vouchers for Orange; Osceola; Seminole; Lake; and Sumter County residents"
124,CareerSource Northeast Florida,Government Program,"Trade Certification Training Vouchers (ITA)|OSHA Training",Multiple,FL,Jacksonville,Varies,0,5000,Varies,WIOA,https://careersourcenortheastflorida.com,"WIOA-funded programs for Duval; Clay; Nassau; Baker; Putnam; and St. Johns County residents"
125,CareerSource Tampa Bay,Government Program,"Trade Certification Training Vouchers (ITA)|Career Counseling",Multiple,FL,Tampa,Varies,0,5000,Varies,WIOA,https://careersourcetampabay.com,"WIOA-funded training vouchers for Hillsborough County residents pursuing trade certifications"
126,CareerSource Pinellas,Government Program,"Trade Certification Training Vouchers (ITA)|Career Counseling",Multiple,FL,St. Petersburg,Varies,0,5000,Varies,WIOA,https://careersourcepinellas.com,"WIOA-funded training vouchers for Pinellas County residents pursuing trade certifications"
127,California ETP (Employment Training Panel),Government Program,"Apprenticeship Training|EVITP|Trade Certifications",Multiple,CA,Multiple,Varies,0,5000,Varies,Employer Paid,https://etp.ca.gov,"$25M annually for apprenticeship programs; priority for women; veterans; and justice-involved individuals"
128,VA GI Bill (Post-9/11 Chapter 33),Government Program,"Welding|HVAC|Electrical|Plumbing|Construction|Heavy Equipment|NCCCO|OSHA|EPA 608|NICET",Multiple,US,Multiple,Varies,0,7395,Varies,GI Bill,https://www.va.gov/education/gi-bill-comparison-tool/,"Covers tuition; housing allowance; and $1000/year books stipend at VA-approved trade schools"
129,VA Certification Reimbursement,Government Program,"CompTIA|NCCCO|OSHA|EPA 608|NICET|State Contractor Exams",Multiple,US,Multiple,Varies,0,500,Varies,GI Bill,https://www.va.gov/education/about-gi-bill-benefits/how-to-use-benefits/non-college-degree-programs/,"VA reimburses approved licensing and certification test fees at no out-of-pocket cost for veterans"
130,Federal Pell Grant Program,Government Program,"Trade School Tuition (Welding|HVAC|Electrical|Plumbing|Construction|CDL)",Multiple,US,Multiple,Varies,0,7395,Varies,Yes,https://studentaid.gov,"Up to ~$7395/year for Title IV eligible programs; Workforce Pell expansion effective July 2026"
131,IBEW (Local JATC Training Centers),Union Training Center,"Electrical Apprenticeship|OSHA 10/30|NFPA 70E|First Aid/CPR|Forklift|Aerial Lift|Confined Space",Electrical,US,Multiple,In-Person,0,0,5 years,Employer Paid,https://ibew.org,"Free training for union members funded by NECA employer contributions; 5-year electrical apprenticeship"
132,United Association (UA) Plumbers & Pipefitters,Union Training Center,"Plumbing Apprenticeship|Welding Certs|Backflow Prevention|Medical Gas|OSHA|CPR/First Aid",Plumbing,US,Multiple,In-Person,0,0,5 years,Employer Paid,https://ua.org,"Free 5-year plumbing/pipefitting apprenticeship with welding; backflow; and safety certifications"
133,United Brotherhood of Carpenters (UBC),Union Training Center,"Carpentry Apprenticeship|OSHA 10/30|Scaffold Competent Person|Fall Protection|Rigging",Carpentry,US,Multiple,In-Person,0,0,4 years,Employer Paid,https://www.carpenters.org,"Free 4-year carpentry apprenticeship including OSHA; scaffold; and fall protection certifications"
134,IUOE (Operating Engineers),Union Training Center,"Heavy Equipment Operation|NCCCO Crane Operator|OSHA|Equipment-Specific Certs",Crane Operation,US,Multiple,In-Person,0,0,3-4 years,Employer Paid,https://www.iuoe.org,"Free heavy equipment and crane operator training for union members at IUOE training centers"
135,SMWIA (Sheet Metal Workers),Union Training Center,"Sheet Metal Apprenticeship|OSHA|NATE|EPA 608|Specialized Sheet Metal Certs",HVAC,US,Multiple,In-Person,0,0,4-5 years,Employer Paid,https://www.smwia.org,"Free sheet metal apprenticeship with NATE; EPA 608; and OSHA certifications for union members"
136,Union Plus Scholarships (AFL-CIO),Government Program,Trade School Tuition|Certificate Programs,Multiple,US,Multiple,Varies,500,4000,Varies,Yes,https://www.unionplus.org/benefits/education/union-plus-scholarships,"$500-$4000 scholarships for union members and families; 193 recipients in 2025 totaling $250K awarded"
137,AGC Education Foundation,Government Program,Pre-Apprenticeship|Apprenticeship|Construction Programs,Multiple,US,Multiple,Varies,500,2500,Varies,Yes,https://www.constructionfoundation.org,"$500-$2500 Skilled Trades Scholarships for students in post-secondary construction training programs"
138,Carrier University,Employer Program,"Carrier Equipment Installation|Service|Maintenance Training",HVAC,US,Online,Hybrid,0,0,Varies,Free,https://www.carrier.com,"Free brand-specific installation and service training sponsored by Carrier Corporation for dealers"
139,Trane ComfortSite (NC3),Employer Program,"Trane Equipment Training|Technician Onboarding|NC3 Certifications",HVAC,US,Online,Hybrid,0,0,Varies,Free,https://www.trane.com,"Free technician training through NC3 partnership; formalized certifications for Trane dealer networks"
140,Lennox Learning Solutions,Employer Program,"Lennox Equipment Training|NATE Certification Support|HVAC CE",HVAC,US,Online,Hybrid,0,0,Varies,Free,https://lennoxpros.com,"Free or subsidized HVAC training with NATE certification preparation support for Lennox dealers"
141,AGC Edge,Training School,"Supervisory Training Program|Project Manager Development|Construction Supervision|Blueprint Reading|Flagger|Lean Construction|BIM",Multiple,US,Online,Online,100,500,Varies,No,https://www.agc.org,"AGC professional development courses available online via Zoom with live instruction and CEU credits"
142,CDI Safety Services,Training School,NCCER Accredited Training and Certification,Multiple,CA,Multiple,In-Person,500,2000,Varies,No,https://www.cdisafetyservices.com/nccer,"NCCER accredited training and certification programs in California"
143,Kern Community College District,Community College,"EV Charger Training|EVITP Cert Prep|OSHA|Safety Programs",Electrical,CA,Bakersfield,In-Person,2000,5000,Varies,Yes,https://www.kccd.edu,"EV charger training and EVITP certification prep with OSHA and safety programs in the Central Valley"
144,SW Florida AC Contractors Association,Training School,EPA 608 Certification Exam Events,HVAC,FL,Estero,In-Person,50,200,1 day,No,https://sw-acca.org,"Periodic EPA 608 certification exam events in the Fort Myers/Estero area"
145,South East Florida Apartment Association,Training School,EPA 608 Certification Events|Safety Training,HVAC,FL,Multiple,In-Person,50,200,1 day,No,https://www.sefaa.org,"Periodic EPA 608 certification and safety training events in Southeast Florida"
146,Everblue Training,Online Platform,HERS Rater Certification|BPI Certification,Multiple,US,Online,Online,500,2000,Varies,No,https://everbluetraining.com,"National online provider for HERS rater and BPI building performance certification training"
147,Aurora Solar,Training School,"NABCEP Recertification|Solar Design Training",Solar,CA,San Francisco,Online,100,500,Varies,No,https://aurorasolar.com,"NABCEP recertification and solar design training courses based in San Francisco"
148,Top Trade School,Exam Prep,"Electrical Practice Tests|Plumbing Practice Tests|HVAC Practice Tests|Mechanic Practice Tests",Multiple,US,Online,Online,0,50,Varies,Free,https://toptrade.school/practice-tests,"Free and premium practice tests for electrical; plumbing; HVAC; and mechanic certification exams"
149,Skilled Trades Exam App,Exam Prep,"Master Plumber Practice Tests|Master Electrician Practice Tests",Multiple,US,Online,Online,5,20,Varies,No,https://skilledtradesexam.com,"Mobile app with practice tests for master plumber and master electrician certification exams"
150,Train for the Crane,Exam Prep,NCCCO Crane Operator Practice Tests,Crane Operation,US,Online,Online,30,100,Varies,No,https://trainforthecrane.com,"Online NCCCO crane operator practice tests and exam preparation resources"
151,Charter College,Training School,"EPA 608, OSHA 10, Industrial First Aid CPR",HVAC/R,AK,Anchorage,In-Person,2500,5000,630 hours,Yes,www.chartercollege.edu,Comprehensive HVAC training including EPA 608 certification and safety courses.
152,Alaska Vocational Technical Center,Community College,PAHRA Accredited,HVAC/R,AK,Seward,In-Person,1500,3000,5 months,Yes,avtc.uaa.alaska.edu,PAHRA-accredited HVAC/R program; runs annually January to May.
153,University of Alaska Anchorage,Community College,"EPA 608, Refrigeration Technology",HVAC/R,AK,Anchorage,Online,3000,6000,1-2 years,Yes,www.uaa.alaska.edu,Occupational Endorsement Certificate in Refrigeration and Heating for residential and commercial systems.
154,Jefferson State Community College,Community College,"EPA 608, OSHA",HVAC,AL,Birmingham,In-Person,2500,5000,Certificate/AAS,Yes,www.jeffersonstate.edu,HVAC through Industrial Training Academy with EPA 608 certification and OSHA regulations.
155,Coastal Alabama Community College,Community College,OSHA 10,General Safety,AL,Coastal areas,In-Person,50,100,2 days,Yes,www.coastalalabama.edu,"Offers OSHA 10 in multiple specializations (Construction, Healthcare, etc.)."
156,Fortis Institute Birmingham,Training School,"Welding, HVAC",Multiple,AL,Birmingham,In-Person,8000,15000,6-12 months,Yes,www.fortis.edu,Specialized training in welding and HVAC with hands-on instruction.
157,Tradez Institute,Online Platform,"EPA 608, OSHA 10, NATE",HVAC,AZ,Online,Online,1999,1999,4-6 weeks,Yes,www.tradezinstitute.com,"HVAC Career Accelerator with EPA, OSHA, and NATE certifications combined."
158,DeHart Technical School,Training School,"EPA 608, A2L Certification",HVAC/Refrigeration,AZ,Phoenix,In-Person/Hybrid,2500,5000,4-8 weeks,Yes,deharttech.edu,Section 608 and A2L EPA certification programs for HVAC technicians.
159,SkillCat,Online Platform,EPA 608,HVAC,AZ,Online,Online,10,10,Self-paced,No,www.skillcatapp.com,Low-cost online EPA 608 certification prep course.
160,Arkansas Welding Academy,Training School,AWS Certified Welder,Welding,AR,Little Rock,In-Person,3500,7000,8-12 weeks,Yes,www.arkansasweldingacademy.edu,Only federally accredited welding school in Arkansas; comprehensive pipe and structural welding.
161,Northwest Arkansas Community College,Community College,"EPA 608, Electrical Apprenticeship",HVAC/Electrical,AR,Bentonville,In-Person,2500,5000,2 years,Yes,www.nwacc.edu,Skilled trades programs including HVAC and electrical with EPA and apprenticeship pathways.
162,Arkansas Tech University,Community College,EPA 608,HVAC/R,AR,Russellville,In-Person,3000,6000,2 years AAS or 1 year cert,Yes,www.atu.edu,Air conditioning and refrigeration certificate and degree programs.
163,Front Range Community College,Community College,"PAHRA Accredited, EPA 608",HVAC,CO,Larimer,In-Person,2500,5000,2 years AAS,Yes,www.frontrange.edu,State's only PAHRA accredited HVAC program with multiple certificate options.
164,Pikes Peak Community College,Community College,HVAC Excellence Accredited,HVAC,CO,Colorado Springs,In-Person,2500,5000,1-2 years,Yes,www.ppcc.edu,Only HVAC Excellence-accredited program in Colorado.
165,Local 58 Pipefitters,Union Training,"Welding, Pipefitting",Multiple Trades,CO,Denver,In-Person,0,0,Varies,Yes,www.local58.org,Union apprenticeship programs combining classroom and on-the-job training.
166,Lincoln Technical Institute,Training School,EPA 608,HVAC/R,CT,East Windsor,In-Person,6500,12000,6-12 months,Yes,www.lincolntech.edu,"Diploma program in air conditioning, refrigeration, and heating with EPA certification prep."
167,CT State Naugatuck Valley,Community College,Welding Certificates,Welding,CT,Waterbury,In-Person,2000,4000,6 months,Yes,ctstate.edu,Welding courses and certificates at competitive tuition rates.
168,Asnuntuck Community College,Community College,Advanced Manufacturing Welding,Welding,CT,Enfield,In-Person,2500,5000,2 years AAS,Yes,asnuntuck.edu,Advanced Manufacturing Welding Technology with associate degree.
169,Delaware Skills Center,Training School,"EPA 608, OSHA 10, R410A",HVAC,DE,Wilmington,In-Person,2500,5000,12 weeks,Yes,www.deskillscenter.org,12-week HVAC Energy Technician course with multiple industry certifications.
170,New Castle County Vocational Technical,Community College,"EPA 608, OSHA",HVAC/Plumbing/Electrical,DE,New Castle,In-Person,2500,5000,Certificate/AAS,Yes,www.dtcc.edu,"Construction Technologies pathway with HVAC, plumbing, and electrical programs."
171,Delaware County Community College,Community College,OSHA 30,Construction Safety,DE,Newark,In-Person,2000,4000,3 days,Yes,www.dccc.edu,"Carpentry, Electrical, and HVAC continuing education courses."
172,Tulsa Welding School Atlanta,Training School,"Welding, HVAC/R, Electrical",Multiple Trades,GA,Decatur,In-Person,8000,15000,7 months,Yes,www.tws.edu,"Hands-on training in welding, HVAC, and electrical trades."
173,Georgia Trade School,Training School,Welding Certifications,Welding,GA,Kennesaw,In-Person,4000,7000,16 weeks full-time,Yes,www.georgiatradeschool.com,Boutique welding school offering fast-track programs.
174,Chattahoochee Technical College,Community College,Welding and Joining,Welding,GA,Marietta,In-Person,2500,5000,2 years AAS,Yes,www.chattahoocheetech.edu,Welding and Joining Technology program at technical college.
175,Honolulu Community College,Community College,"EPA 608, NATE Ready to Work",HVAC/R,HI,Honolulu,In-Person,3000,6000,2 years AAS,Yes,honolulu.hawaii.edu,HVAC Excellence and NATE-certified programs.
176,Kauai Community College,Community College,"EPA 608, NATE, HVAC Excellence",HVAC/R,HI,Kauai,Online,3000,6000,1 year,Yes,kauai.hawaii.edu,100% online HVAC/R technician training with multiple certifications.
177,UHMC HO'ALA,Continuing Education,"EPA 608, Electrical Technology",HVAC/Electrical,HI,Honolulu,In-Person,1000,3000,Varies,Yes,hawaii.edu,"Continuing education in HVAC, refrigeration, and electrical technology."
178,College of Western Idaho,Community College,AWS Certified Welder,Welding,ID,Boise,In-Person,2500,5000,1-2 years,Yes,cwi.edu,Welding and Metals Fabrication with AWS certification preparation.
179,Idaho State University,Community College,"EPA 608, AWS",HVAC/Welding,ID,Pocatello,In-Person,3000,6000,2 years AAS,Yes,www.isu.edu,HVAC and welding programs with certification pathways.
180,College of Eastern Idaho,Training School,"Electrical, HVAC, Plumbing Apprenticeships",Multiple Trades,ID,Idaho Falls,In-Person,0,0,Apprenticeship varies,Yes,ceiworkforce.org,Apprenticeship programs in construction trades.
181,ETI School of Skilled Trades,Training School,"Welding, HVAC/R",Multiple Trades,IL,Chicago,In-Person,7000,14000,6-12 months,Yes,eticampus.edu,Premier welding and HVAC/R training since 1973.
182,Coyne,Training School,"Welding, HVAC, Electrical",Multiple Trades,IL,Chicago,In-Person,8000,15000,6-12 months,Yes,www.coyne.edu,Over 120 years of skilled trades training in Chicago.
183,Midwest Technical Institute,Training School,"Welding, HVAC, Electrical, Plumbing",Multiple Trades,IL,Springfield,In-Person,7000,14000,6-12 months,Yes,mti.edu,Intensive hands-on programs in multiple skilled trades.
184,Hoosier Trade School,Training School,"OSHA 10, EPA 608, Industry Certifications",HVAC/Electrical,IN,Indianapolis,In-Person,3500,7000,4 months,Yes,www.hoosiertradeschool.com,Fast-track certification programs with OSHA and EPA 608.
185,Ivy Tech Community College,Community College,"Industrial Technology, Apprenticeships",Multiple Trades,IN,Indianapolis,In-Person,2500,5000,1-2 years,Yes,www.ivytech.edu,Statewide community college system with extensive trade programs.
186,Building Institute of Louisville,Training School,"HVAC, Electrical, Plumbing, Carpentry",Multiple Trades,IN,Louisville,In-Person,5000,10000,Evening/hybrid,Yes,buildinginstitute.com,Evening and hybrid apprenticeship-model programs.
187,EICC (Eastern Iowa Community College),Community College,"EPA 608, OSHA 10, HVAC Excellence",HVAC/R,IA,Davenport,In-Person,2500,5000,39-credit diploma,Yes,eicc.edu,Only HVAC program in Iowa with HVAC Excellence accreditation.
188,Iowa Western Community College,Community College,AWS Certified Welder,Welding,IA,Council Bluffs,In-Person,2500,5000,1-2 years,Yes,www.iwcc.edu,Welding with AWS certification opportunities.
189,Northeast Iowa Community College,Community College,Trades and Industry,Multiple Trades,IA,Calmar,In-Person,2500,5000,1-2 years,Yes,www.nicc.edu,OSHA training and trades programs.
190,Washburn Tech,Community College,"Welding Technology, AWS",Welding,KS,Topeka,In-Person,2500,5000,1-2 years,Yes,www.washburntech.edu,Welding courses with AWS certification and advanced training.
191,Kansas City Kansas Community College,Community College,"Welding, HVAC/R",Multiple Trades,KS,Kansas City,In-Person,2500,5000,Certificate to AAS,Yes,kckcc.edu,Online welder technician and other trade programs.
192,KCKCC Technical Education Center,Training Center,"HVAC, Electrical, Welding",Multiple Trades,KS,Kansas City,In-Person,2500,5000,1-2 years,Yes,www.kansasworks.com,Multiple skilled trades with flexible scheduling.
193,Kentucky Welding Institute,Training School,"Pipe, Structural, Fabricator Welder Certifications",Welding,KY,Louisville,In-Person,4000,8000,12-16 weeks,Yes,www.kyweld.com,Intensive welding certifications for pipe and structural work.
194,ABC Indiana/Kentucky,Training Organization,"NCCER Electrical, HVAC, Plumbing, Carpentry",Multiple Trades,KY,Louisville,In-Person,0,0,4-5 year apprenticeship,Yes,abcindy.org,"NCCER-accredited apprenticeships with 8,000 hours on-the-job training."
195,TradeTech,Online Platform,"HVAC, Plumbing, Electrical CEU",Multiple Trades,KY,Online,Online,50,200,Varies,No,tradetechky.com,Online continuing education for licensed professionals.
196,Baton Rouge Community College,Community College,"HVAC/R, Electrical, Welding",Multiple Trades,LA,Baton Rouge,In-Person,2500,5000,1-2 years,Yes,www.mybrcc.edu,"Aviation maintenance, construction, and skilled trades programs."
197,FORTIS College Baton Rouge,Training School,"Healthcare, HVAC, Welding, CDL",Multiple Trades,LA,Baton Rouge,In-Person,6000,12000,6-12 months,Yes,www.fortis.edu,Small class sizes with healthcare and trade options.
198,ITI Technical College,Training School,"HVAC/R, Electrical, Plumbing",Multiple Trades,LA,Baton Rouge,In-Person,8000,15000,1-2 years,Yes,www.iticollege.edu,Technical and industrial programs with multiple certifications.
199,Technology Learning Center (TLC),Training School,"HVAC, Welding, Electronics",Multiple Trades,MA,Oxford,In-Person,6000,12000,6-12 months,Yes,tlctech.edu,"Accredited programs in HVAC, welding, and electronics."
200,Benjamin Franklin Institute of Technology,Training School,"HVAC, Electrical, Automotive",Multiple Trades,MA,Boston,In-Person,8000,15000,2 years,Yes,www.bfit.edu,"Highly regarded for HVAC, electrical, and automotive programs."
201,Keefe at Night,Community College,"Plumbing, HVAC, Electrical",Multiple Trades,MA,Boston,In-Person,0,0,200 hours per course,Yes,keefeatnight.org,Tuition-free grant programs in building trades.
202,Center for Trades and Energy Training,Training Center,"Welding, Electrical, HVAC",Multiple Trades,MD,Hughesville,In-Person,5000,10000,1-2 years,Yes,www.csmd.edu,"Fully equipped labs for welding, electrical, and HVAC trades."
203,Cecil College,Community College,"Welding, Electrical, HVAC/R",Multiple Trades,MD,North East,In-Person,2500,5000,1-2 years,Yes,www.cecil.edu,Hands-on workforce training in skilled trades.
204,Lincoln College of Technology,Training School,"HVAC, Electrical, Welding",Multiple Trades,MD,Columbia,In-Person,6000,12000,6-12 months,Yes,www.lincolntech.edu,"Automotive, HVAC, electrical, and welding technician training."
205,MTEC (Maine Technical Education Center),Training School,"EPA 608, AWS Certified Welder",HVAC/Welding,ME,Auburn,In-Person,5000,10000,6-12 months,Yes,www.mtecenter.com,Comprehensive HVAC-R training with 95% job placement rate.
206,Southern Maine Community College,Community College,Welding Courses,Welding,ME,South Portland,In-Person,2500,5000,1-2 years,Yes,www.smccme.edu,Introduction and mechanical welding courses.
207,Washington County Community College,Community College,"AWS Certified Welder, State Pipe Cert",Welding,ME,Calais,In-Person,2500,5000,1-2 years,Yes,wccc.me.edu,Welding with AWS and Maine state pipe certifications.
208,Northwestern Michigan College,Community College,"Carpentry, Electrical, HVAC, Plumbing, Welding",Multiple Trades,MI,Traverse City,In-Person,2500,5000,1-2 years,Yes,www.nmc.edu,Degrees and certificates in multiple construction trades.
209,Dorsey College,Training School,"HVAC Systems Technician, Electrical",Multiple Trades,MI,Dearborn,In-Person,8000,15000,12 months,Yes,www.dorsey.edu,One-year diploma programs in HVAC and electrical.
210,SEMCA,Training Center,"Electrical, Carpentry, HVAC/R, Welding",Multiple Trades,MI,Sterling Heights,In-Person,3000,6000,Earn-while-you-learn,Yes,www.semcaschool.org,Earn-while-you-learn model with night classes.
211,Anoka Technical College,Community College,70+ career programs,Multiple Trades,MN,Anoka,In-Person,2500,5000,1-2 years,Yes,www.anokatech.edu,Two-year technical college with extensive trade offerings.
212,Hennepin Technical College,Community College,HVAC Excellence Accredited,HVAC,MN,Eden Prairie,In-Person,2500,5000,1-2 years,Yes,www.hennepintech.edu,HVAC Excellence and HLC accredited programs.
213,Various UA Local Chapters,Union Training,"Plumbing, HVAC, Welding Apprenticeships",Multiple Trades,MN,Minneapolis,In-Person,0,0,4-5 years,Yes,ua.org,"Union apprenticeships in plumbing, pipefitting, HVAC, and welding."
214,Delta Technical College,Training School,"HVAC Excellence Accredited, Welding",HVAC/Welding,MS,Horn Lake,In-Person,5000,10000,<1 year for certs,Yes,www.deltatechnicalcollege.com,Only HVAC Excellence program in MS; welding in less than a year.
215,Northwest Mississippi Community College,Community College,"EPA 608, HVAC AAS/Certificate",HVAC/R,MS,Senatobia,In-Person,2500,5000,1-2 years,Yes,www.nwmcc.edu,Associate degree or vocational certificate in HVAC/R.
216,UA Local 568,Union Training,"HVAC/R, Welding, Plumbing Apprenticeships",Multiple Trades,MS,Gulfport,In-Person,0,0,4-5 years,Yes,ua.org,United Association apprenticeships for HVAC/R service technicians.
217,American Trade School,Training School,"HVAC/R, EPA 608, OSHA",HVAC,MO,St. Louis,Hybrid,4000,8000,8 months,Yes,www.americantradeschool.edu,Hybrid program combining classroom and online instruction.
218,Metropolitan Community College,Community College,"HVAC, Refrigeration, Welding",Multiple Trades,MO,Kansas City,In-Person,2500,5000,Certificate to AAS,Yes,mcckc.edu,Multiple credential options from certificate to associate degree.
219,Great Plains OSHA Education Center,OSHA Training Center,OSHA 10/30,Safety,MO,Independence,In-Person,100,300,1-3 days,Yes,greatplainsosha.org,OSHA training at MCC-Blue River campus.
220,Montana Tech,Community College,Welding Technology,Welding,MT,Butte,In-Person,2500,5000,1-2 years AAS,Yes,www.mtech.edu,Accredited welding program with certificate and degree options.
221,Flathead Valley Community College,Community College,HVAC/R Maintenance Technology,HVAC,MT,Kalispell,In-Person,2500,5000,1-2 years,Yes,www.fvcc.edu,HVAC Fundamentals and electrical training.
222,University of Montana,Community College,Welding Technology,Welding,MT,Missoula,In-Person,2500,5000,1-2 years,Yes,www.umt.edu,One-year certificate or two-year associate degree in welding.
223,Cape Fear Community College,Community College,"Electrician, Plumbing Technology",Multiple Trades,NC,Wilmington,In-Person,2748,2748,1-2 years,Yes,www.cfcc.edu,Residential and commercial electrical training with licensing prep.
224,Greenville Technical College,Community College,HVAC Excellence Accredited,HVAC/Welding,NC,Greenville,In-Person,2500,5000,1-2 years,Yes,www.gvltec.edu,HVAC Excellence accreditation with multiple program options.
225,MB HAYNES,Training Organization,"Electrical, HVAC, Plumbing, Pipefitting/Pipewelding",Multiple Trades,NC,Raleigh,In-Person,0,0,4-5 year apprenticeship,Yes,www.mbhaynes.com,Registered NC apprenticeships in multiple trades.
226,University of North Dakota,Online Platform,"EPA 608, HVAC Excellence, NATE",HVAC/R,ND,Online,Online,2000,4000,<1 year,Yes,und.edu,100% online HVAC/R technician training.
227,NDSU Continued Learning,Online Platform,"EPA 608, Online HVAC/R",HVAC/R,ND,Online,Online,2000,4000,12 months or less,Yes,www.ndsu.edu,"Self-paced, 100% online HVAC/R technician course."
228,North Dakota State College of Science,Community College,HVAC/R Certificate/AAS,HVAC/R,ND,Wahpeton,In-Person,2500,5000,1-2 years,Yes,www.ndscs.edu,HVAC/R programs at multiple campuses.
229,Metropolitan Community College,Community College,"HVAC, Welding, Plumbing, Electrical",Multiple Trades,NE,Omaha,In-Person,2500,5000,1-2 years,Yes,www.mccneb.edu,31.5-credit certificate or 2-year AAS degree.
230,Northeast Community College,Community College,"HVAC, Welding, Electrical, Plumbing",Multiple Trades,NE,Norfolk,In-Person,2500,5000,1-2 years,Yes,www.northeast.edu,Trades programs at multiple Nebraska locations.
231,Western Nebraska Community College,Community College,Multiple Trades,Multiple Trades,NE,Sidney,In-Person,2500,5000,1-2 years,Yes,www.wncc.edu,Community college trade programs statewide.
232,New Hampshire School of Mechanical Trades,Training School,"HVAC, Plumbing, Electrical",Multiple Trades,NH,Manchester,In-Person,6000,12000,6-12 months,Yes,www.nhtradeschool.com,Hands-on training with licensing requirement courses.
233,Advanced Trade School,Training School,"HVAC, Plumbing, Welding",Multiple Trades,NH,Concord,In-Person,6000,12000,6-12 months,Yes,www.advancedtradeschool.com,"Comprehensive HVAC, plumbing, and welding training."
234,Great Bay Community College,Community College,"Welding Technologies, AWS Cert",Welding,NH,Portsmouth,In-Person,2500,5000,1-2 years,Yes,www.greatbay.edu,AWS certification preparation through community college.
235,Camden County College,Community College,"HVAC, Welding, Electrical, Plumbing",Multiple Trades,NJ,Camden,In-Person,2500,5000,<1 year to 2 years,Yes,www.camdencc.edu,Practical training in multiple high-demand trades.
236,HoHoKus School of Trades,Training School,"Electrical, Plumbing, Welding",Multiple Trades,NJ,HoHoKus,In-Person,6000,12000,6 months to 2 years,Yes,www.hohokus.edu,Electrical and plumbing apprenticeships and welding.
237,Pennco Tech,Training School,"HVAC&R, Welding",Multiple Trades,NJ,Blackwood,In-Person,7000,14000,6-12 months,Yes,www.penncotech.edu,Hands-on welding and HVAC&R training programs.
