id,trade,state,metro_area,current_employment,projected_growth_pct,annual_openings,shortage_estimate,demand_level,top_sectors,bls_soc_code,median_wage,emerging_driver,description
129,Electrician,WI,Statewide,12000,10.0,1300,2000,Very High,"Data Centers|Manufacturing|Infrastructure|Residential",47-2111,62000,Data Centers,"$3.7B in data center spending positions Wisconsin as an emerging data center market"
130,Electrician,NV,Statewide,10000,11.0,1100,1800,Very High,"Data Centers|Sports|Entertainment|Residential",47-2111,64000,Data Centers,"Las Vegas data center growth and continued sports/entertainment venue construction"
131,Electrician,LA,Statewide,12000,14.0,1300,2500,Critical,"Data Centers|Energy|Petrochemical|Infrastructure",47-2111,58000,Data Centers,"$15B in data center start funding makes Louisiana an emerging hot market for electricians"
132,Electrician,MS,Statewide,6000,15.0,660,1500,Critical,"Data Centers|Manufacturing|Infrastructure",47-2111,52000,Data Centers,"$13.9B in data center start funding; one of the fastest-growing markets nationally"
133,Electrician,US,National,818700,9.0,81000,120000,Critical,"Data Centers|AI Infrastructure|Cloud",47-2111,135000,AI Data Centers,"Data center electricians qualified for 480V busway systems earn $120K-$150K in the specialized segment"
134,HVAC Technician,US,National,409200,8.0,40100,70000,Critical,"Data Centers|Precision Cooling|Hot/Cold Aisle",49-9021,85000,AI Data Centers,"Data center precision cooling specialists for hot/cold aisle containment earn premium wages"
135,Pipefitter,US,National,504500,4.0,44000,80000,Very High,"Data Centers|Chilled Water|Fire Suppression",47-2152,75000,AI Data Centers,"Data center chilled water and fire suppression system pipefitters command premium compensation"
136,Electrician,US,National,818700,9.0,81000,120000,Critical,"EV Charging|Grid Upgrade|Commercial|Residential",47-2111,62350,EV Infrastructure,"California and multi-state EV infrastructure mandates require pre-wiring all new construction for EV charging"
137,Solar PV Installer,CA,Los Angeles,3000,35.0,600,800,Very High,"Residential|Commercial|Battery Storage",47-2231,54000,Title 24 Mandate,"Title 24 requires solar PV on new single-family and low-rise multifamily construction"
138,Solar PV Installer,CA,San Diego,1500,30.0,300,400,Very High,"Residential|Commercial|Military",47-2231,52000,Title 24 Mandate,"Solar installation on new homes plus military base renewable energy projects"
139,Electrician,US,National,818700,9.0,81000,120000,Critical,"Semiconductor|Cleanroom|High-Voltage",47-2111,75000,Semiconductor Fabs,"Semiconductor fab construction requires specialized cleanroom electrical work across 16 states"
140,Millwright,US,National,550000,13.0,54200,40000,Very High,"Semiconductor|Equipment Installation|Manufacturing",49-9044,68000,Semiconductor Fabs,"$200B+ in private semiconductor investment requires specialized millwrights for fab equipment installation"
141,Welder,US,National,413500,2.0,45600,45000,High,"Nuclear|Specialized|Pressure Vessel",51-4121,95000,Nuclear SMR,"Nuclear-grade welders for SMR construction earn $80K-$150K+; TerraPower Natrium project underway"
142,Ironworker,US,National,68900,4.0,7000,8000,High,"Offshore Wind|Turbine Assembly|Marine|Port",47-2221,65000,Offshore Wind,"Offshore wind turbine assembly; port infrastructure steel; and marine construction along Atlantic coast"
143,Lineman,US,National,128800,7.0,10700,15000,Very High,"Offshore Wind|Submarine Cable|Grid|Renewables",49-9051,72000,Offshore Wind,"High-voltage submarine cable installation for offshore wind farms requires specialized linemen"
144,Heavy Equipment Operator,US,National,478800,4.0,46200,50000,High,"Offshore Wind|Port Construction|Marine",47-2073,60000,Offshore Wind,"Offshore wind port facility construction; pile driving; and heavy lift operations"
145,Electrician,MA,Statewide,18000,9.0,2000,2800,Very High,"Offshore Wind|Data Centers|Infrastructure|Residential",47-2111,72000,Offshore Wind,"Vineyard Wind 800 MW project and New Bedford Marine Commerce Terminal drive demand"
146,Electrician,CT,Statewide,8000,8.0,880,1200,Very High,"Offshore Wind|Submarine|Infrastructure|Manufacturing",47-2111,68000,Offshore Wind,"Revolution Wind 704 MW project and New London State Pier construction drive demand"
147,Ironworker,MA,Statewide,2500,6.0,280,400,Very High,"Offshore Wind|Port|Infrastructure|Commercial",47-2221,72000,Offshore Wind,"Offshore wind turbine assembly and port heavy-lift infrastructure construction"
148,Welder,US,National,413500,2.0,45600,45000,High,"Semiconductor|Cleanroom|Ultra-Pure Piping",51-4121,65000,Semiconductor Fabs,"Ultra-pure piping welding for semiconductor fabs requires specialized orbital welding skills"
149,Concrete Worker,US,National,200000,4.0,20000,25000,High,"Data Centers|Raised Floor|Reinforced Foundation",47-2051,52000,Data Centers,"Data center reinforced foundations and raised floor systems require specialized concrete work"
150,HVAC Technician,FL,Tampa Bay,6500,10.0,700,1200,Critical,"Data Centers|Hyperscale|Residential|Commercial",49-9021,58000,Data Centers Hyperscale,"Planned hyperscale data center facilities in Tampa region require precision cooling specialists"
151,Electrician,FL,Statewide,52000,11.0,5800,9000,Critical,"Solar|Residential|Commercial|Grid",47-2111,60500,Solar Integration,"Florida ranks #2 nationally in solar jobs; solar electricians need specialized certifications"
152,Carpenter,CA,Los Angeles,25000,6.0,2700,3000,High,"Wildfire Rebuild|Fire-Hardened|Residential",47-2031,67000,Fire-Hardened Construction,"Fire-hardened building code requirements in WUI zones add complexity to rebuild carpentry"
153,Plumber/Pipefitter,CA,Los Angeles,15000,7.0,1700,2500,Very High,"Wildfire Rebuild|Water Conservation|Recycling",47-2152,74000,Water Infrastructure,"Advanced water treatment and recycling plant construction across Southern California"
154,Electrician,SC,Statewide,10000,8.0,1100,1500,Very High,"Manufacturing|Military|Data Centers|Residential",47-2111,55000,Manufacturing,"Manufacturing reshoring and military facility construction drive electrician demand"
155,Electrician,UT,Statewide,8000,9.0,880,1200,Very High,"Data Centers|Tech|Residential|Infrastructure",47-2111,60000,Data Centers,"Tech sector growth and data center construction in Salt Lake City metro area"
156,Heavy Equipment Operator,FL,Statewide,25000,8.0,2800,3500,Very High,"Seaport|Infrastructure|Site Development|Mining",47-2073,53400,Seaport Expansion,"Port Everglades deepening; JAXPORT expansion; Port Tampa Bay; and PortMiami improvements"
157,Concrete Worker,FL,Miami-Dade,4500,8.0,490,700,High,"High-Rise|Port|Infrastructure|Residential",47-2051,50000,High-Rise Construction,"High-rise condo construction and Port Everglades concrete infrastructure work"
158,Glazier,FL,Miami-Dade,1800,6.0,200,300,High,"Hurricane Impact|High-Rise|Commercial|Residential",47-2121,51000,Hurricane Resilience,"HVHZ-rated impact glass installation for high-rise coastal construction is a specialized skill"
159,Sheet Metal Worker,CA,San Francisco Bay Area,2500,4.0,250,350,Moderate,"Data Centers|Commercial HVAC|Industrial",47-2211,75000,Data Centers,"Silicon Valley data center airflow management and commercial HVAC ductwork fabrication"
160,Electrician,ID,Statewide,4000,10.0,440,600,Very High,"Data Centers|Tech|Residential|Infrastructure",47-2111,58000,Data Centers,"Tech migration from California drives residential construction and data center development"
161,HVAC Technician,NV,Las Vegas,4000,10.0,450,700,Very High,"Data Centers|Hospitality|Residential|Commercial",49-9021,60000,Data Centers,"Las Vegas data center growth and continuous hotel/resort HVAC installation and maintenance"
162,Carpenter,FL,Palm Beach,4000,8.0,430,500,High,"Residential|Luxury|Commercial|Data Centers",47-2031,54000,Data Centers,"Luxury residential finish carpentry and data center campus construction support"
163,Roofer,FL,Palm Beach,2000,8.0,220,350,Very High,"Hurricane Recovery|Residential|Commercial|Solar",47-2181,46500,Hurricane Resilience,"HVHZ-rated roofing installation and solar mounting system integration"
164,Electrician,MI,Statewide,18000,8.0,2000,2800,Very High,"EV Battery|Manufacturing|Automotive|Infrastructure",47-2111,62000,EV Battery Plants,"LG Energy Solution $2.6B expansion in Holland and broader EV manufacturing supply chain"
165,Millwright,MI,Statewide,5000,12.0,600,800,Very High,"EV Battery|Automotive|Manufacturing|Equipment",49-9044,64000,EV Battery Plants,"Battery plant and automotive manufacturing equipment installation across Michigan"
166,Concrete Worker,CA,San Francisco Bay Area,3000,5.0,330,450,High,"Data Centers|Seismic Retrofit|Transit|Commercial",47-2051,60000,Data Centers,"Data center raised floor systems and seismic-rated commercial foundation construction"
167,Electrician,WY,Kemmerer,200,25.0,30,100,Critical,"Nuclear SMR|Energy|Mining|Infrastructure",47-2111,62000,Nuclear SMR,"TerraPower Natrium 345 MW SMR under construction requires specialized nuclear electrical work"
168,Welder,WY,Kemmerer,100,20.0,15,50,Critical,"Nuclear SMR|Pressure Vessel|Specialized",51-4121,85000,Nuclear SMR,"Nuclear-grade welding for TerraPower Natrium reactor requires highest-level weld certifications"
169,Pipefitter,WY,Kemmerer,100,20.0,15,50,Critical,"Nuclear SMR|Precision Piping|Specialized",47-2152,78000,Nuclear SMR,"Precision piping installation for molten salt reactor coolant systems at TerraPower"
170,Lineman,TX,Statewide,12000,8.0,1100,1800,Very High,"Grid Modernization|Renewables|Data Centers|Energy",49-9051,68000,Grid Modernization,"Texas grid modernization after reliability concerns; renewable interconnection; and data center power"
171,Lineman,FL,Statewide,8000,7.0,700,1000,Very High,"Hurricane Hardening|Grid|Solar|Residential",49-9051,66000,Hurricane Hardening,"Storm damage restoration; grid hardening against hurricanes; and solar farm interconnection"
172,Electrician,NY,Statewide,30000,8.0,3300,4000,Very High,"Offshore Wind|Data Centers|Residential|Transit",47-2111,72000,Offshore Wind,"South Fork Wind operating; Sunrise Wind 924 MW and Empire Wind 816 MW under development"
173,Ironworker,NY,Statewide,5000,5.0,550,700,High,"Offshore Wind|High-Rise|Infrastructure|Bridges",47-2221,75000,Offshore Wind,"Offshore wind turbine assembly and NYC high-rise steel erection"
174,Heavy Equipment Operator,CA,Los Angeles,5000,7.0,560,800,Very High,"Wildfire Debris|Site Development|Infrastructure|Port",47-2073,65000,Wildfire Debris Removal,"Months-long debris removal from LA wildfire destruction requiring heavy equipment operators"
175,Electrician,FL,Orlando,8500,11.0,950,1600,Critical,"HostDime Data Center|Theme Parks|Residential",47-2111,60000,Data Centers,"HostDime 100K sq ft Tier IV data center completing Q1 2026 in Maitland area"
176,Plumber/Pipefitter,FL,Orlando,4500,7.0,490,650,High,"Theme Parks|Residential|Commercial|Hospitality",47-2152,57000,Theme Park Expansion,"Universal expansion and Disney renovation projects drive plumbing infrastructure needs"
177,Roofer,CA,Los Angeles,4500,6.0,500,800,Very High,"Wildfire Rebuild|Fire-Hardened|Class A Rated",47-2181,54000,Fire-Hardened Construction,"WUI zone fire-hardened roofing requirements mandate Class A fire-rated roofing materials"
178,HVAC Technician,TX,Dallas-Fort Worth,8000,10.0,900,1400,Critical,"Data Centers|Commercial|Residential|Industrial",49-9021,58000,Data Centers,"Dallas-Fort Worth data center hub requires massive precision cooling infrastructure"
179,Plumber/Pipefitter,TX,Dallas-Fort Worth,7000,7.0,780,1000,Very High,"Data Centers|Commercial|Residential|Industrial",47-2152,60000,Data Centers,"Data center fire suppression and chilled water piping for the DFW data center corridor"
180,Electrician,TX,San Antonio,5000,10.0,560,800,Very High,"Data Centers|Military|Residential|Commercial",47-2111,58000,Data Centers,"San Antonio is a growing data center market with military base electrical demand"
181,Carpenter,TX,Statewide,50000,5.0,5500,5000,High,"Residential|Commercial|Manufacturing|Industrial",47-2031,52000,Population Growth,"Rapid Texas population growth drives sustained residential framing and commercial finish demand"
182,Concrete Worker,TX,Statewide,18000,5.0,2000,2200,High,"Infrastructure|Commercial|Data Centers|Residential",47-2051,48000,Data Centers,"Data center foundation work; highway construction; and commercial development"
183,Sheet Metal Worker,TX,Statewide,10000,3.0,1000,1200,Moderate,"Commercial HVAC|Data Centers|Industrial|Petrochemical",47-2211,58000,Data Centers,"Commercial HVAC ductwork and data center airflow containment systems"
184,Solar PV Installer,FL,Orlando,1200,20.0,200,250,Very High,"Residential|Commercial|Theme Parks",47-2231,46000,Solar Growth,"Central Florida solar installation growth for residential rooftop and commercial ground-mount systems"
185,Electrician,VA,Statewide,25000,11.0,2800,4000,Critical,"Coastal Virginia Offshore Wind|Data Centers|Military",47-2111,64000,Offshore Wind,"Dominion Coastal Virginia 2600 MW offshore wind project -- largest in the US"
186,Ironworker,VA,Coastal Virginia,1200,8.0,130,250,Very High,"Offshore Wind|Turbine Assembly|Port|Marine",47-2221,65000,Offshore Wind,"Dominion 2600 MW offshore wind project requires ironworkers for turbine foundation and assembly"
187,Plumber/Pipefitter,AZ,Phoenix,7000,8.0,780,1000,Very High,"Semiconductor|Ultra-Pure|Data Centers|Residential",47-2152,60000,Semiconductor Fabs,"TSMC fab requires ultra-pure water piping systems with orbital welded stainless steel"
188,Millwright,AZ,Phoenix,1500,15.0,180,400,Critical,"Semiconductor|Equipment Installation|Data Centers",49-9044,65000,Semiconductor Fabs,"TSMC fab equipment installation requires precision millwright skills for cleanroom machinery"
189,Concrete Worker,AZ,Phoenix,3500,8.0,390,500,Very High,"Semiconductor|Data Centers|Residential|Infrastructure",47-2051,50000,Semiconductor Fabs,"Precision leveling for semiconductor cleanroom floors and data center raised floor systems"
190,Electrician,OH,Columbus,5000,12.0,560,900,Critical,"Semiconductor|Data Centers|Infrastructure|Residential",47-2111,60000,Semiconductor Fabs,"Intel $28B fab complex requiring 7K+ construction workers at peak creates critical demand"
191,Pipefitter,OH,Columbus,2000,10.0,220,350,Very High,"Semiconductor|Ultra-Pure|Chemical|Data Centers",47-2152,62000,Semiconductor Fabs,"Ultra-pure water piping and chemical delivery systems for Intel semiconductor fab"
192,Millwright,OH,Columbus,800,15.0,100,200,Critical,"Semiconductor|Equipment Installation|Manufacturing",49-9044,64000,Semiconductor Fabs,"Semiconductor manufacturing equipment installation requires 1+ year of specialized millwright work"
193,HVAC Technician,CA,Los Angeles,10000,9.0,1100,1800,Critical,"Wildfire Rebuild|Commercial|Data Centers|Title 24",49-9021,70000,Title 24 Heat Pumps,"Title 24 heat pump transition requirements for all new construction drive HVAC technician demand"
194,Electrician,TX,Taylor,1000,20.0,150,400,Critical,"Semiconductor|Cleanroom|High-Voltage|Manufacturing",47-2111,62000,Samsung Semiconductor,"Samsung $17B semiconductor fab in Taylor requires 4K+ construction workers at peak"
195,Welder,TX,Sherman,500,15.0,75,200,Very High,"Semiconductor|Structural|Process|Cleanroom",51-4121,55000,TI Semiconductor,"Texas Instruments $11B fab in Sherman requires structural and process welding specialists"
196,Electrician,NY,Clay,1500,18.0,200,500,Critical,"Semiconductor|Cleanroom|Ultra-High-Voltage",47-2111,68000,Micron Semiconductor,"Micron $100B 20-year investment in Clay requires 9K+ construction workers at peak"
