id,program_name,sponsor,type,trade,industry,state,city,duration_years,ojt_hours,classroom_hours,starting_wage_pct,ending_wage_pct,journeyman_wage,union_affiliation,prerequisites,application_url,description
85,BNAP Boilermaker Apprenticeship,International Brotherhood of Boilermakers,Union JATC,Boilermaker,Construction,MO,Multiple,4,6000,576,50,85,42.00,Boilermakers,18+|HS Diploma|Valid DL|Drug Test|Physical Fitness,https://www.bnap.com/,National boilermaker apprenticeship covering boiler installation; pressure vessel work; welding; and rigging.
86,Sprinkler Fitters Local 669 National Apprenticeship,UA - Sprinkler Fitters Local 669,Union JATC,Sprinkler Fitter,Construction,MD,Multiple,5,10000,800,45,85,40.00,UA Local 669,18+|HS Diploma|Valid DL|Drug Test,https://training669.org/,National sprinkler fitter apprenticeship covering fire sprinkler system design; installation; and NFPA code compliance.
87,IUOE National Heavy Equipment Apprenticeship,International Union of Operating Engineers,Union JATC,Heavy Equipment Operator,Construction,IL,Multiple,3,6000,600,60,90,40.00,IUOE,18+|HS Diploma|Valid DL|Drug Test|Physical Fitness,https://www.iuoe.org/training/,National operating engineers program training excavator; bulldozer; crane; and paving equipment operators.
88,SMART National Sheet Metal Apprenticeship,SMART Union,Union JATC,Sheet Metal,Construction,DC,Multiple,5,8000,1000,40,85,45.00,SMART,18+|HS Diploma|Valid DL|Drug Test,https://www.smart-union.org/our-priorities/training/,National sheet metal apprenticeship with 5% wage increases every 6 months; covering ductwork; architectural; and industrial applications.
89,IUPAT National Painting Apprenticeship,International Union of Painters & Allied Trades,Union JATC,Painting & Finishing,Construction,MD,Multiple,3,6000,432,40,85,35.00,IUPAT,18+|HS Diploma|Valid DL|Drug Test,https://ifti.edu/,National painting apprenticeship through the International Finishing Trades Institute covering commercial and industrial applications.
90,IUPAT National Glazier Apprenticeship,International Union of Painters & Allied Trades,Union JATC,Glazier,Construction,MD,Multiple,4,8000,576,40,85,38.00,IUPAT,18+|HS Diploma|Valid DL|Drug Test,https://ifti.edu/,4-year glazing apprenticeship covering glass installation; curtain wall systems; and architectural glazing.
91,Roofers & Waterproofers National Apprenticeship,United Union of Roofers & Waterproofers,Union JATC,Roofing,Construction,DC,Multiple,3,5500,500,45,85,35.00,"Roofers, Waterproofers & Allied Workers",18+|HS Diploma|Valid DL|Drug Test|Physical Fitness,https://unionroofers.com/join-us/apprenticeship/,National roofing apprenticeship covering built-up; single-ply membrane; metal roofing; and waterproofing systems.
92,Insulators (HFIAW) National Apprenticeship,Heat & Frost Insulators (HFIAW),Union JATC,Insulator,Construction,DC,Multiple,4,6400,640,45,85,38.00,HFIAW,18+|HS Diploma|Valid DL|Drug Test,https://insulatorsjatc.org/,4-year mechanical insulation apprenticeship covering pipe and equipment insulation; fire stopping; and hazardous material abatement.
93,PHCC National Plumbing Apprenticeship,Plumbing-Heating-Cooling Contractors Assn,Employer-Sponsored,Plumbing,Construction,VA,Multiple,4,7500,660,45,85,36.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test,https://www.phcc.org/,Non-union 4-year plumbing apprenticeship with evening classes and DOL-recognized online academy courses.
94,PHCC National HVAC Apprenticeship,Plumbing-Heating-Cooling Contractors Assn,Employer-Sponsored,HVAC,Construction,VA,Multiple,4,7500,660,45,85,34.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test,https://www.phcc.org/,Non-union HVAC/R apprenticeship with 144 annual classroom hours and DOL Certificate of Completion.
95,Job Corps Construction Trades Program,US Department of Labor,Pre-Apprenticeship,Multiple Trades,Construction,US,Multiple,1,2000,480,0,0,0,N/A,16-24|Low Income|Free Program,https://www.jobcorps.gov/,Free residential education and job training for ages 16-24 with NCCER-certified curriculum and placement into registered apprenticeships.
96,UBC Job Corps Carpentry Program,UBC National Job Corps Training Fund,Pre-Apprenticeship,Carpentry,Construction,US,Multiple,1,2000,480,0,0,0,UBC,16-24|Low Income|Free Program,https://ubcjobcorps.org/,Free carpentry training at select Job Corps centers with direct pathway to UBC registered apprenticeship.
97,IUOE Job Corps Heavy Equipment Program,IUOE,Pre-Apprenticeship,Heavy Equipment Operator,Construction,US,Multiple,1,2000,480,0,0,0,IUOE,16-24|Low Income|Free Program,https://www.iuoe.org/training/iuoe-job-corps,Free heavy equipment operator training at select Job Corps centers with direct pathway to IUOE apprenticeship.
98,YouthBuild National Pre-Apprenticeship,US Department of Labor,Pre-Apprenticeship,Multiple Trades,Construction,US,Multiple,1,1000,400,0,0,0,N/A,16-24|Left HS Without Diploma,https://youthbuild.org/,DOL-funded pre-apprenticeship combining construction skills with GED completion; building affordable housing while learning.
99,Helmets to Hardhats National Program,Center for Military Recruitment into Building Trades,Pre-Apprenticeship,Multiple Trades,Construction,US,Multiple,0,0,0,0,0,0,N/A,Veteran or Active Duty|DD-214,https://helmetstohardhats.org/,Free veteran placement service connecting transitioning military to registered building trades apprenticeship programs.
100,UA Veterans in Piping (VIP) Program,United Association (UA),Pre-Apprenticeship,Plumbing & Pipefitting,Construction,US,Multiple,1,0,480,0,0,0,UA,Active Duty Military|SkillBridge Eligible,https://ua.org/career-paths/programs-for-veterans/,DoD SkillBridge pre-apprenticeship in welding; HVAC/R; and fire suppression at select military bases with direct UA pathway.
101,NAWIC Women in Construction Program,National Association of Women in Construction,Pre-Apprenticeship,Multiple Trades,Construction,US,Multiple,0,0,0,0,0,0,N/A,Interest in Construction|Female,https://nawic.org/,National organization with 120+ chapters providing career growth; networking; and pathway to construction trades for women.
102,NCCER Build Your Future High School Program,National Center for Construction Education & Research,Pre-Apprenticeship,Multiple Trades,Construction,US,Multiple,2,0,300,0,0,0,N/A,HS Student|Interest in Construction,https://www.nccer.org/builderprogram/,Industry-recognized CTE program for high schools earning NCCER credentials as a pathway to registered apprenticeship.
103,AFSA Fire Sprinkler Apprenticeship,American Fire Sprinkler Association,Employer-Sponsored,Fire Sprinkler,Construction,TX,Multiple,4,8000,576,45,85,35.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test,https://firesprinkler.org/sprinkler-apprentice-training/,Non-union fire sprinkler apprenticeship covering system design; pipe installation; and NFPA code compliance.
104,Ironworkers National Apprenticeship,International Association of Iron Workers,Union JATC,Structural Ironwork,Construction,DC,Multiple,4,7000,700,50,90,40.00,Iron Workers,18+|HS Diploma|Valid DL|Drug Test|Physical Fitness,https://www.ironworkers.org/s/apprenticeship,National ironworker apprenticeship covering structural steel erection; reinforcing; welding; rigging; and ornamental work.
105,IBEW Local 1205 Electrical JATC,IBEW Local 1205 & NECA,Union JATC,Inside Wireman,Construction,FL,Fort Lauderdale,5,8000,900,40,90,35.00,IBEW Local 1205,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://www.ibew.org/apprenticeships,South Florida electrical apprenticeship covering Broward County and surrounding areas.
106,ABC Central Florida Infrastructure Apprenticeship,ABC Central Florida Chapter,Non-Union ABC,Infrastructure,Construction,FL,Orlando,4,8000,576,45,85,30.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abccentralflorida.com/apprenticeships/,Heavy infrastructure apprenticeship covering underground utilities; site work; and civil construction.
107,Calbright College Pre-Apprenticeship (IT),Calbright College,Pre-Apprenticeship,IT Support,Information Technology,CA,Multiple,1,0,300,0,0,0,N/A,18+|Interest in IT,https://www.calbright.edu/,DAS-approved pre-apprenticeship in IT support; cybersecurity; and data analysis at California's online community college.
108,IBEW Local 1316 Electrical JATC,IBEW Local 1316 & NECA,Union JATC,Inside Wireman,Construction,FL,Multiple,5,8000,900,40,90,33.00,IBEW Local 1316,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://www.ibew.org/apprenticeships,Florida coverage area electrical apprenticeship for inside wireman certification.
109,SMART Sheet Metal Workers -- Florida,SMART Union - Florida,Union JATC,Sheet Metal,Construction,FL,Multiple,5,6400,800,40,85,34.00,SMART,18+|HS Diploma|Valid DL|Drug Test,,Florida sheet metal apprenticeship covering HVAC ductwork; architectural sheet metal; and industrial applications.
110,UA Local 234 HVAC Service Technician Apprenticeship,UA Local 234,Union JATC,HVAC,Construction,FL,Jacksonville,5,9000,1080,40,90,33.00,UA Local 234,18+|HS Diploma|Valid FL DL|Drug Test|Official Transcript,https://ua234.com/,Jacksonville union HVAC service technician apprenticeship with certification programs and continuing education.
111,ABC Northern California Apprenticeship,ABC Northern California,Non-Union ABC,Multiple Trades,Construction,CA,Multiple,4,8000,576,45,85,42.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abcnorcal.org/,Northern California non-union apprenticeship providing workforce development and political advocacy for merit shop contractors.
112,IBEW Local 47 Utility Worker Apprenticeship,IBEW Local 47 & NECA,Union JATC,Utility Lineman,Energy,CA,Multiple,4,8000,720,50,90,52.00,IBEW Local 47,18+|HS Diploma|CDL|Valid DL|Drug Test|Physical Fitness,https://www.ibew.org/apprenticeships,Southern California utility worker apprenticeship for electrical line construction and maintenance.
113,Sacramento-Sierra Building Trades Apprenticeship Readiness,Sacramento-Sierra Building Trades Council,Pre-Apprenticeship,Multiple Trades,Construction,CA,Sacramento,1,0,120,0,0,0,N/A,18+|Interest in Construction Trades,https://ssbctc.org/the-apprenticeship-readiness-program/,Sacramento-area apprenticeship readiness program with MC3 curriculum and building trades placement.
114,Construction Trades Workforce Initiative (CTWI),Construction Trades Workforce Initiative,Pre-Apprenticeship,Multiple Trades,Construction,IL,Chicago,1,0,300,0,0,0,N/A,18+|Underrepresented Community,https://ctwi.org/,Diversity-focused pre-apprenticeship bridging organized labor and job-seekers from underrepresented communities.
115,NEW Apprenticeship Readiness Collective (NYC),Nontraditional Employment for Women,Pre-Apprenticeship,Multiple Trades,Construction,NY,New York,1,0,200,0,0,0,N/A,18+|Female|Interest in Construction,https://www.new-nyc.org/programs,NYC pre-apprenticeship program providing direct entry to building trades apprenticeships for women.
116,Chicagoland Roofers JATC,United Union of Roofers Local 11,Union JATC,Roofing,Construction,IL,Chicago,5,5500,600,45,85,40.00,"Roofers, Waterproofers & Allied Workers",18+|HS Diploma|Valid DL|Drug Test|Physical Fitness,https://unionroofers.com/join-us/apprenticeship/,5-year Chicago-area roofing apprenticeship covering all commercial and industrial roofing systems.
117,Sprinkler Fitters Local 821 Apprenticeship,UA - Sprinkler Fitters Local 821,Union JATC,Sprinkler Fitter,Construction,IL,Chicago,5,10000,800,45,85,42.00,UA Local 821,18+|HS Diploma|Valid DL|Drug Test,,Chicago-area fire sprinkler fitter apprenticeship covering system design; pipe installation; and testing.
118,IBEW Local 180 Napa Electrical JATC,IBEW Local 180 & NECA,Union JATC,Inside Wireman,Construction,CA,Napa,5,8000,900,40,85,52.00,IBEW Local 180,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.ibew.org/apprenticeships,Napa Valley electrical apprenticeship for wine country and North Bay area inside wireman certification.
119,IBEW Local 440 Riverside Electrical JATC,IBEW Local 440 & NECA,Union JATC,Inside Wireman,Construction,CA,Riverside,5,8000,900,40,85,48.00,IBEW Local 440,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.ibew.org/apprenticeships,Riverside County electrical apprenticeship established in 1939; one of the longest-running IBEW locals in California.
120,Women Build PA Trade Readiness Pre-Apprenticeship,Women Build PA,Pre-Apprenticeship,Multiple Trades,Construction,PA,Philadelphia,1,0,200,0,0,0,N/A,18+|Female|Interest in Construction,https://womenbuildpa.org/,Women-focused pre-apprenticeship in construction; manufacturing; and transit careers.
121,BOOTS Women's Carpentry Pre-Apprenticeship,UBC / BOOTS Program,Pre-Apprenticeship,Carpentry,Construction,US,Multiple,1,0,160,0,0,0,UBC,18+|Female|Interest in Carpentry,https://flcrc.org/apprenticeships,4-week pre-apprenticeship for women considering union carpentry; partnered with UBC carpenters.
122,Tradeswomen Inc. Pre-Apprenticeship,Tradeswomen Inc.,Pre-Apprenticeship,Multiple Trades,Construction,CA,San Francisco,1,0,120,0,0,0,N/A,18+|Female|Interest in Construction,,Bay Area program focused on increasing women in skilled building trades through outreach and pre-apprenticeship preparation.
123,IBEW Local 551 Northern California JATC,IBEW Local 551 & NECA,Union JATC,Inside Wireman,Construction,CA,Santa Rosa,5,8000,900,40,85,50.00,IBEW Local 551,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.ibew.org/apprenticeships,Northern California electrical apprenticeship serving the North Bay and surrounding wine country region.
124,IBEW Local 1245 Utility Worker Apprenticeship,IBEW Local 1245,Union JATC,Utility Lineman,Energy,CA,Multiple,4,8000,720,50,90,54.00,IBEW Local 1245,18+|HS Diploma|CDL|Valid DL|Drug Test|Physical Fitness,https://www.ibew.org/apprenticeships,Northern California utility worker apprenticeship organized in 1941 covering electrical line construction and maintenance.
125,IBEW Local 234 Northern California JATC,IBEW Local 234 & NECA,Union JATC,Inside Wireman,Construction,CA,Multiple,5,8000,900,40,85,48.00,IBEW Local 234,18+|HS Diploma|Algebra C+|Valid DL|Drug Test|Aptitude Test,https://www.ibew.org/apprenticeships,Northern California inside wireman electrical apprenticeship program.
126,ABC San Diego Apprenticeship,ABC San Diego Chapter,Non-Union ABC,Multiple Trades,Construction,CA,San Diego,4,8000,576,45,85,42.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://www.abc.org/apprenticeships,San Diego County non-union apprenticeship covering electrical; plumbing; and other construction trades.
127,ABC Central California Apprenticeship,ABC Central California Chapter,Non-Union ABC,Multiple Trades,Construction,CA,Fresno,4,8000,576,45,85,38.00,Non-Union,18+|HS Diploma|Valid DL|Drug Test|Employment with ABC Contractor,https://abccentralflorida.com/apprenticeships/,Central Valley non-union apprenticeship for merit shop contractors in the Fresno region.
128,LAUSD MC3 Pre-Apprenticeship,LAUSD Adult Education,Pre-Apprenticeship,Multiple Trades,Construction,CA,Los Angeles,1,0,120,0,0,0,N/A,18+|Interest in Construction Trades,https://adulted.lausd.org/,Multi-Craft Core Curriculum pre-apprenticeship through LAUSD Adult Education with OSHA 10 certification.
129,UA Local 630 HVAC/R Apprenticeship,UA Local 630,Union JATC,HVAC,Construction,FL,West Palm Beach,5,9000,1080,40,90,34.00,UA Local 630,18+|HS Diploma|Valid FL DL|Drug Test|Official Transcript,https://lu630.org/,West Palm Beach union HVAC/R service technician apprenticeship with full benefits package.
130,ETACF Sound & Communication Installer Apprenticeship,IBEW Local 606 & NECA,Union JATC,Sound & Communication,Construction,FL,Orlando,4,8000,720,40,85,30.00,IBEW Local 606,18+|HS Diploma|Valid DL|Drug Test|Aptitude Test,https://www.etacfl.org/how-to-apply,Orlando-area sound and communication installer apprenticeship covering low-voltage; fire alarm; and data systems.
